newsid,title,negative,url,source,time,storydate,candidate,story_position,panel_position,domain
54592,Tensions Between Bernie Sanders and MSNBC Boil Over,1,https://www.thedailybeast.com/the-war-between-bernie-sanders-and-msnbc-reaches-a-new-peak,The Daily Beast,1 day ago,7/25/2019 12:00,Bernie Sanders,1,1,www.thedailybeast.com
43759,Cory Booker is gambling his 2020 hopes on an unlikely proposition,0,https://www.washingtonpost.com/opinions/cory-booker-is-gambling-his-2020-hopes-on-an-unlikely-proposition/2019/03/03/552413ca-3c5e-11e9-a2cd-307b06d0257b_story.html,Washington Post,1 day ago,3/5/2019 18:00,Cory Booker,1,1,www.washingtonpost.com
12231,"Cory Booker hits New Hampshire campaign trail, discusses opioid crisis",0,https://www.wmur.com/article/cory-booker-hits-new-hampshire-campaign-trail-discusses-opioid-crisis/29548701,WMUR.com,18 hours ago,10/23/2019 6:00,Cory Booker,8,1,www.wmur.com
58385,Marianne Williamson's Iowa director joins John Delaney's 2020 campaign,0,https://www.desmoinesregister.com/story/news/elections/presidential/caucus/2019/07/09/marianne-williamsons-iowa-state-director-john-delaney-2020-campaign-brent-roske-caucus-election/1683533001/,The Des Moines Register,4 hours ago,7/9/2019 18:00,John Delaney,3,1,www.desmoinesregister.com
17506,"Tulsi Gabbard's Lawyers Want Hillary Clinton to Take Back Her Comments on 
Gabbard",0,https://www.newser.com/story/282918/tulsi-gabbards-lawyers-to-clinton-take-it-back.html,Newser,2 days ago,11/14/2019 8:00,Tulsi Gabbard,8,1,www.newser.com
31835,"Kamala Harris, Kirsten Gillibrand call for investigation into Justin 
Fairfax sexual assault claim",0,https://www.washingtonexaminer.com/news/kamala-harris-kirsten-gillibrand-call-for-investigation-into-justin-fairfax-sexual-assault-claim,Washington Examiner,5 hours ago,2/7/2019 18:00,Kirsten Gillibrand,4,1,www.washingtonexaminer.com
30293,Democratic debate: Inslee says Democrats’ real problem is Mitch McConnell,0,https://www.vox.com/policy-and-politics/2019/7/31/20749602/jay-inslee-mitch-mcconnell-senate-filibuster,Vox,11 hours ago,8/1/2019 10:00,Jay Inslee,1,1,www.vox.com
1606,Warren’s got 50 plans because central planning always works,1,https://www.houstonchronicle.com/business/columnists/tomlinson/article/Warren-s-got-50-plans-because-central-planning-14553429.php,Houston Chronicle,9 hours ago,10/23/2019 14:00,Elizabeth Warren,7,1,www.houstonchronicle.com
33194,"Sen. Corey Booker quotes this Old Testament Bible verse to defend LGBTQ 
rights",0,http://video.foxnews.com/v/6094060728001/,Fox News Video,1 day ago,10/12/2019 18:00,Cory Booker,5,1,video.foxnews.com
31196,Seth Moulton Co-Sponsors Bill To Designate 9-8-8 For Suicide Hotline,0,https://boston.cbslocal.com/2019/08/20/national-suicide-hotline-988-dialing-code-bill-seth-moulton/,CBS Boston - CBS Local,1 hour ago,8/20/2019 16:00,Seth Moulton,4,1,boston.cbslocal.com
5961,"Bernie Sanders has a low ceiling, but others have room to grow",1,https://www.washingtonpost.com/opinions/2019/06/25/bernie-has-low-ceiling-others-have-room-grow/,Washington Post,9 hours ago,6/25/2019 22:00,Bernie Sanders,9,1,www.washingtonpost.com
6085,Montana Gov. Bullock eyes public financing for 2020 run,0,http://nbcmontana.com/news/local/montana-gov-bullock-eyes-public-financing-for-2020-run,KECI,13 hours ago,10/1/2019 0:00,Steve Bullock,3,1,nbcmontana.com
5701,There’s at least one Republican who’s not afraid to stand up to Trump,0,https://www.washingtonpost.com/opinions/bill-weld-is-taking-on-trump--from-inside-the-gop/2019/11/27/0c3fc042-1060-11ea-9cd7-a1becbc82f5e_story.html,The Washington Post,3 weeks ago,12/24/2019 12:00,Bill Weld,6,1,www.washingtonpost.com
31066,"Presidential candidate Andrew Yang rips Knicks' team of 'overpaid role 
players'",0,https://www.sny.tv/knicks/news/presidential-candidate-andrew-yang-rips-knicks-team-of-overpaid-role-players/309334354,SNY,1 day ago,7/24/2019 20:00,Andrew Yang,4,1,www.sny.tv
55851,De Blasio presidential campaign bankrolled by donors with city interests,1,https://www.politico.com/states/new-york/city-hall/story/2019/10/28/de-blasio-presidential-campaign-bankrolled-by-donors-with-city-interests-1226049,Politico,7 hours ago,10/29/2019 12:00,Bill de Blasio,5,1,www.politico.com
35490,"Andrew Yang Suggests Giving Americans 'A Tiny Slice' of Amazon Sales, 
Google Searches, Facebook Ads and More",0,https://www.newsweek.com/andrew-yang-trickle-economy-give-americans-slice-amazon-sales-google-searches-facebook-ads-1479121,Newsweek,2 days ago,12/27/2019 12:00,Andrew Yang,10,1,www.newsweek.com
35485,California's law-and-order past haunts Kamala Harris,1,https://www.latimes.com/politics/story/2019-10-24/kamala-harris-california-crime,Los Angeles Times,2 hours ago,10/24/2019 10:00,Kamala Harris,1,1,www.latimes.com
21393,Endorsements for Julian Castro in 2020 election,0,https://www.mysanantonio.com/news/local/politics/slideshow/Endorsements-for-Julian-Castro-in-2020-election-190859.php,San Antonio Express-News,5 hours ago,3/14/2019 18:00,Julian Castro,4,1,www.mysanantonio.com
5285,Bill de Blasio Is Sorry!,1,https://theslot.jezebel.com/bill-de-blasio-is-sorry-1835943146,The Slot - Jezebel,15 hours ago,6/29/2019 10:00,Bill de Blasio,5,1,theslot.jezebel.com
44115,"Andrew Yang LIVE: UBI, 2020 Election, TRUMP | Rubin Report",0,https://www.youtube.com/watch?v=PlwG-XVBQJ4,YouTube,12 hours ago,6/8/2019 6:00,Andrew Yang,1,1,www.youtube.com
59056,"Inslee asks Washington wildlife agency to kill fewer wolves, pursue new 
management methods",0,https://www.spokesman.com/stories/2019/oct/01/inslee-asks-washington-wildlife-agency-to-kill-few/,The Spokesman-Review,1 day ago,10/3/2019 18:00,Jay Inslee,1,1,www.spokesman.com
19453,"2020 Vision: Marchand ‘all in’ for Yang, eyes governors race",0,https://www.seacoastonline.com/news/20190729/2020-vision-marchand-all-in-for-yang-eyes-governors-race,Seacoastonline.com,10 hours ago,7/30/2019 0:00,Andrew Yang,5,1,www.seacoastonline.com
18952,How Marianne Williamson Was Force-Fed The Red Pill,1,https://thefederalist.com/2019/10/15/how-marianne-williamson-was-force-fed-the-red-pill/,The Federalist,3 weeks ago,11/8/2019 18:00,Marianne Williamson,8,1,thefederalist.com
25736,"Kamala Harris, Bernie Sanders, and Cory Booker all criticize Joe Biden over 
civility comments",0,https://theweek.com/speedreads/848732/kamala-harris-bernie-sanders-cory-booker-all-criticize-joe-biden-over-civility-comments,The Week,12 mins ago,6/23/2019 12:00,Cory Booker,4,1,theweek.com
56222,,0,,,,12/19/2019 8:00,,,,
9876,Bernie Sanders will displace homeless in Sacramento CA event,0,https://www.sacbee.com/opinion/article234197312.html,The Sacramento Bee,7 hours ago,8/21/2019 16:00,Bernie Sanders,10,1,www.sacbee.com
11251,Hostilities between Warren and Buttigieg boil over,1,https://www.politico.com/news/2019/12/06/elizabeth-warren-pete-buttigieg-hostilities-077076,Politico,1 day ago,12/7/2019 18:00,Pete Buttigieg,2,1,www.politico.com
38298,"Presidential hopeful Sen. Amy Klobuchar in Cedar Rapids promises to usher 
America across river of divides",0,https://www.thegazette.com/subject/news/government/presidential-hopeful-minnesota-sen-amy-klobuchar-in-cedar-rapids-promises-to-usher-america-across-river-of-divides-20190317,The Gazette,14 hours ago,3/18/2019 12:00,Amy Klobuchar,5,1,www.thegazette.com
8839,"Billionaire Who Predicted Trump’s Rise Says Ex Starbucks CEO Doesn’t Have 
the Beans for 2020 Presidential Race",1,https://www.ccn.com/billionaire-donald-trump-starbucks-ceo-2020-presidency,CCN,1 day ago,2/19/2019 12:00,Howard Schultz,8,1,www.ccn.com
11534,"Klobuchar dismisses mock campaign logo as something from 'very enthusiastic 
supporter' | TheHill",0,https://thehill.com/homenews/senate/425542-klobuchar-waves-off-campaign-logo-prototype-as-something-from-very,The Hill,10 hours ago,1/16/2019 6:00,Amy Klobuchar,1,1,thehill.com
7949,"O'Rourke, Schumer huddle on possible 2020 bid: report | TheHill",0,https://thehill.com/homenews/campaign/429956-orourke-schumer-huddle-on-possible-2020-bid-report,The Hill,4 hours ago,2/14/2019 12:00,Beto O Rourke,4,1,thehill.com
49034,"Washington Post's viral TikTok video spoofs media for confusing San 
Antonio's Julian, Joaquin Castro",0,https://www.mysanantonio.com/news/local/article/Castro-twins-spoof-the-media-in-viral-video-14574277.php,San Antonio Express-News,1 day ago,10/31/2019 12:00,Julian Castro,1,1,www.mysanantonio.com
2233,"AOC has a lot to say about Israel, antisemitism and Bernie Sanders",0,https://www.jpost.com/American-Politics/AOC-has-a-lot-to-say-about-Israel-antisemitism-and-Bernie-Sanders-597328,The Jerusalem Post,1 day ago,8/2/2019 10:00,Bernie Sanders,7,1,www.jpost.com
41172,The breakout stars of the Democratic debates,0,https://theweek.com/articles/855885/breakout-stars-democratic-debates,The Week,2 days ago,8/3/2019 8:00,John Delaney,10,1,theweek.com
47500,Rep. Tim Ryan shreds McConnell: Where are your guts?,0,https://www.cnn.com/videos/politics/2019/08/07/tim-ryan-mcconnell-gun-violence-legislation-nr-bts-vpx.cnn,CNN.com,2 weeks ago,8/25/2019 18:00,Tim Ryan,7,1,www.cnn.com
14674,"Meghan McCain dismisses Tom Steyer: 'You have not proven that you can 
inspire people' to elect you",1,https://www.foxnews.com/entertainment/meghan-mccain-tom-steyer-dismisses,Fox News,3 days ago,8/5/2019 8:00,Tom Steyer,4,1,www.foxnews.com
9738,Julián Castro exploring 2020 presidential bid,0,https://www.politico.com/story/2018/12/12/julian-castro-2020-presidential-bid-1060045,Politico,3 weeks ago,1/1/2019 12:00,Julian Castro,7,1,www.politico.com
48282,"Is Trump Toast? Data Model That Predicted 2018 Midterms Says He’ll Lose In 
2020",1,https://www.huffpost.com/entry/trump-2020-prediction_n_5d1ae3fbe4b03d611640b0df,HuffPost,14 hours ago,7/2/2019 20:00,Howard Schultz,1,1,www.huffpost.com
8391,Eric Swalwell Says He's Getting Death Threats,0,https://heavy.com/news/2019/04/eric-swalwell-death-threats-recording/,Heavy.com,15 hours ago,4/4/2019 6:00,Eric Swalwell,6,1,heavy.com
2753,,0,,,,6/3/2019 6:00,,,,
11919,"""Anonymous"" to expose private Trump conversations in forthcoming book",1,https://www.axios.com/anonymous-warning-book-trump-private-conversations-302546bd-680c-41dd-b46f-f85d8e459079.html,Axios,2 hours ago,10/25/2019 8:00,Donald Trump,2,1,www.axios.com
51759,Opinion: Joe Biden will receive Holy Communion sooner or later,0,https://www.latimes.com/opinion/story/2019-11-02/biden-communion-abortion-south-carolina-priest,Los Angeles Times,1 day ago,11/3/2019 8:00,Joe Biden,9,1,www.latimes.com
45995,"Tulsi Gabbard Is a 'Puppet For the Russian Government,' Says CNN Analyst",1,https://www.newsweek.com/tulsi-gabbard-puppet-russian-government-ex-south-carolina-rep-tells-cnn-hours-before-dem-1465485,Newsweek,15 hours ago,10/16/2019 10:00,Tulsi Gabbard,9,1,www.newsweek.com
37499,Marianne Williamson Falls for Hoax Saying Trump Pardoned Charles Manson,1,https://freebeacon.com/politics/marianne-williamson-falls-for-hoax-saying-trump-pardoned-charles-manson/,Free Beacon,1 week ago,12/17/2019 16:00,Marianne Williamson,4,1,freebeacon.com
38856,"John Hickenlooper's senior aides urged him to drop 2020 bid and run for 
Senate",1,https://www.cnn.com/2019/07/02/politics/hickenlooper-campaign/index.html,CNN.com,1 day ago,7/4/2019 10:00,John Hickenlooper,8,1,www.cnn.com
51745,Clarence Thomas Rebukes Liberals Over His Biden-Led Confirmation Hearings,0,https://www.newsweek.com/justice-clarence-thomas-rebukes-liberals-over-his-biden-led-confirmation-hearings-says-they-can-1474737,Newsweek,57 mins ago,11/29/2019 0:00,Joe Biden,3,1,www.newsweek.com
7298,,0,,,,5/19/2019 12:00,,,,
54052,"In fundraising plea, Delaney says he’s at risk of debate cut. He’s not",0,https://abcnews.go.com/Politics/fundraising-plea-2020-candidate-john-delaney-hes-risk/story?id=64353353,ABC News - Go.com,1 day ago,7/16/2019 22:00,John Delaney,1,1,abcnews.go.com
43101,"Cory Booker coming to Portland for fundraiser on Sunday, will address 'this 
moral moment in America'",0,https://www.oregonlive.com/politics/2019/08/cory-booker-coming-to-portland-for-fundraiser-on-sunday-will-address-this-moral-moment-in-america.html,OregonLive.com,18 hours ago,8/23/2019 8:00,Cory Booker,6,1,www.oregonlive.com
25643,Bennet unveils housing plan | News,0,http://www.kmaland.com/news/bennet-unveils-housing-plan/article_484662fc-eb9a-11e9-8cba-4ff0c6e11c3d.html,kmaland.com,2 days ago,10/13/2019 4:00,Michael Bennet,3,1,www.kmaland.com
57589,"Biden Under Fire for Suggesting Homophobic Comments Were Socially 
Acceptable Five Years Ago",1,https://slate.com/news-and-politics/2019/06/joe-biden-suggests-homophobic-comments-socially-acceptable-five-years-ago.html,Slate,16 hours ago,7/1/2019 10:00,Joe Biden,10,1,slate.com
58387,Steve Bullock: A crazy idea to get things done in Washington,0,https://www.cnn.com/2019/10/03/opinions/steve-bullock-end-permanent-campaign-opinion/index.html,CNN.com,5 days ago,10/9/2019 8:00,Steve Bullock,10,1,www.cnn.com
56925,Libertarians try to woo Howard Schultz,0,https://www.washingtonexaminer.com/news/white-house/why-howard-schultz-could-go-libertarian,Washington Examiner,18 hours ago,2/12/2019 18:00,Howard Schultz,9,1,www.washingtonexaminer.com
1696,,0,,,,3/30/2019 0:00,,,,
20674,Sen. Gillibrand talks public service during visit to Hamilton College,0,"https://romesentinel.com/stories/sen-gillibrand-talks-public-service-during-visit-to-hamilton-college,87262",Rome Sentinel,1 day ago,11/28/2019 14:00,Kirsten Gillibrand,3,13,romesentinel.com
15574,"Kamala Harris Says The ""Electability"" Conversation Is Getting The Midwest 
Wrong",0,https://www.buzzfeednews.com/article/mollyhensleyclancy/kamala-harris-electability-michigan,BuzzFeed News,2 hours ago,5/6/2019 0:00,Kamala Harris,3,1,www.buzzfeednews.com
45325,Here's why Bloomberg insists he's not crazy,0,https://www.politico.com/news/2019/11/27/michael-bloomberg-2020-election-theories-074094,Politico,1 day ago,11/29/2019 0:00,Michael Bloomberg,10,1,www.politico.com
27916,B O O M,0,https://splinternews.com/b-o-o-m-1836430588,Splinter,13 hours ago,7/17/2019 10:00,Bernie Sanders,8,1,splinternews.com
54122,The most important moment of the Houston debate got totally overlooked,0,https://www.cnn.com/2019/09/16/politics/joe-biden-cory-booker-castro/index.html,CNN.com,7 hours ago,9/17/2019 2:00,Cory Booker,3,1,www.cnn.com
50164,"Andrew Yang accused of discriminating against female employee at education 
company | TheHill",1,https://thehill.com/homenews/campaign/472363-andrew-yang-accused-of-discriminating-against-female-employee-at-education,The Hill,1 day ago,11/29/2019 2:00,Andrew Yang,4,1,thehill.com
42358,Gillibrand open to mandatory federal buyback program for assault weapons,0,https://www.cnn.com/2019/08/15/politics/kirsten-gillibrand-gun-buyback-program-cnntv/index.html,CNN.com,1 day ago,8/17/2019 12:00,Kirsten Gillibrand,2,1,www.cnn.com
26877,We're Receiving Reports That Donald Trump Jr. Is Still Divorced,1,https://theslot.jezebel.com/were-receiving-reports-that-donald-trump-jr-is-still-d-1835614797,The Slot - Jezebel,5 hours ago,6/18/2019 18:00,Donald Trump,9,1,theslot.jezebel.com
45519,Michael Bennet slams DNC for exclusive debate rules,0,https://www.9news.com/article/news/local/next/michael-bennet-slams-dnc-for-exclusive-debate-rules/73-ee8370b0-592c-4328-814a-0d2513951f9d,9NEWS.com,8 hours ago,8/24/2019 4:00,Michael Bennet,3,1,www.9news.com
32061,"Tom Steyer Thinks Michael Bloomberg Should ""Meet Some Americans And Look 
Them In The Eye""",0,https://www.buzzfeednews.com/article/katherinemiller/tom-steyer-mike-bloomberg-kamala-harris,BuzzFeed News,1 day ago,12/5/2019 10:00,Tom Steyer,1,5,www.buzzfeednews.com
49936,"Julián Castro jokes about his looks after forum mistakenly uses twin 
brother's photo | TheHill",0,https://thehill.com/blogs/blog-briefing-room/news/440474-julian-castro-jokes-after-forum-uses-twin-brothers-photo,The Hill,2 days ago,4/27/2019 6:00,Julian Castro,2,1,thehill.com
43657,Has Elizabeth Warren broken the electability ceiling?,0,https://www.washingtonpost.com/politics/2019/10/14/has-elizabeth-warren-broken-electability-ceiling/,Washington Post,9 hours ago,10/15/2019 2:00,Elizabeth Warren,7,1,www.washingtonpost.com
49685,Senate Ethics Committee Gives Cory Booker a Pass,0,https://www.cnsnews.com/news/article/susan-jones/senate-ethics-committee-gives-cory-booker-pass,CNS News,1 day ago,1/25/2019 18:00,Cory Booker,4,1,www.cnsnews.com
27790,"Booker says Biden's entry into the Democratic presidential race 'poses a 
real challenge' to him",0,https://www.nj.com/politics/2019/04/booker-says-bidens-entry-into-the-democratic-presidential-race-poses-a-real-challenge-to-him.html,NJ.com,5 hours ago,4/25/2019 18:00,Cory Booker,3,1,www.nj.com
11193,Marianne Williamson: 'We need to renew the ban on assault weapons',0,https://finance.yahoo.com/news/marianne-williamson-assault-weapon-ban-trump-122225602.html,Yahoo Finance,15 hours ago,8/11/2019 0:00,Marianne Williamson,2,1,finance.yahoo.com
8351,"Mike Gravel 2020: Alaska Democrat tweets today his campaign is ""nearing its 
conclusion""",0,https://www.cbsnews.com/news/mike-gravel-2020-alaska-democrat-tweets-today-his-campaign-is-nearing-its-conclusion-2019-07-05/,CBS News,4 days ago,7/10/2019 20:00,Mike Gravel,8,1,www.cbsnews.com
59787,"Former Starbucks chief executive Howard Schultz announces he will not run 
for president",0,https://www.washingtonpost.com/politics/former-starbucks-chief-executive-howard-schultz-announces-he-will-not-run-for-president/2019/09/05/230b0fa2-d046-11e9-87fa-8501a456c003_story.html,Washington Post,3 weeks ago,9/30/2019 6:00,Howard Schultz,3,1,www.washingtonpost.com
49732,CNN focus group rejects Biden | TheHill,1,https://thehill.com/homenews/media/432611-cnn-focus-group-rejects-biden,The Hill,14 hours ago,3/6/2019 0:00,Joe Biden,1,1,thehill.com
36867,"Warren, Booker stand out on chaotic Iowa stage",0,https://www.politico.com/story/2019/06/09/warren-booker-democrats-iowa-2020-1358526,Politico,3 hours ago,6/10/2019 0:00,Elizabeth Warren,2,1,www.politico.com
6361,Michael Bloomberg says voters should decide Trump's fate,0,https://www.cnn.com/videos/politics/2019/09/25/michael-bloomberg-trump-impeachment-bolduan-interview-vpx.cnn,CNN.com,1 day ago,9/27/2019 8:00,Michael Bloomberg,1,11,www.cnn.com
25970,"Democratic presidential candidate Kamala Harris releases 15 years of tax 
returns",0,https://www.cnbc.com/2019/04/14/kamala-harris-releases-15-years-of-tax-returns.html,CNBC.com,5 hours ago,4/14/2019 18:00,Kamala Harris,4,1,www.cnbc.com
470,Tulsi Gabbard Calls for Americans to Unite Against Big Tech,0,https://www.breitbart.com/tech/2019/07/29/tulsi-gabbard-calls-for-americans-to-unite-against-big-tech/,Breitbart,1 day ago,7/31/2019 2:00,Tulsi Gabbard,7,1,www.breitbart.com
23121,"Marianne Williamson: America doesn’t just have a gun crisis. It has a 
culture crisis.",0,https://www.washingtonpost.com/opinions/2019/09/02/marianne-williamson-us-needs-department-peace/,Washington Post,11 hours ago,9/3/2019 4:00,Marianne Williamson,1,1,www.washingtonpost.com
51256,"Warren, Beto, Biden, and Bernie Get Center-Stage Positions at First 
Democratic Debates",0,http://nymag.com/intelligencer/2019/06/warren-beto-biden-bernie-get-center-stage-debate-spots.html,New York Magazine,17 hours ago,6/19/2019 12:00,Beto O Rourke,7,1,nymag.com
36090,"Colorado brewery The Post Brewing Co. discontinues beer named after former 
Gov. John Hickenlooper",1,https://www.coloradoan.com/story/news/local/colorado/2019/04/03/colorado-brewery-discontinues-beer-named-after-former-gov-john-hickenlooper/3358137002/,The Coloradoan,3 days ago,4/6/2019 18:00,John Hickenlooper,2,1,www.coloradoan.com
23405,The Problem With Pete Buttigieg's “Douglass Plan” for Black America,1,https://theintercept.com/2019/11/15/pete-buttigieg-campaign-black-voters/,The Intercept,20 hours ago,11/16/2019 0:00,Pete Buttigieg,1,1,theintercept.com
58008,Bernie bashes billionaires in manifesto to rescue the media,0,https://www.foxnews.com/media/bernie-bashes-billionaires-in-manifesto-to-rescue-the-media,Fox News,8 hours ago,8/28/2019 14:00,Bernie Sanders,6,1,www.foxnews.com
24194,Gary Hart endorses Michael Bennet at New Hampshire Democratic Convention,0,https://www.cbsnews.com/news/gary-hart-endorses-michael-bennet-at-new-hampshire-democratic-convention/,CBS News,1 week ago,9/17/2019 22:00,Michael Bennet,7,1,www.cbsnews.com
39891,"Change to Elizabeth Warren's Twitter account quickly disappears after 
stirring 2020 speculation",0,https://www.washingtonexaminer.com/news/change-to-elizabeth-warrens-twitter-account-quickly-disappears-after-stirring-2020-speculation,Washington Examiner,9 hours ago,12/30/2018 6:00,Elizabeth Warren,3,1,www.washingtonexaminer.com
27185,"Letters: Laura Miller, Christianity, Beto O'Rourke, Electoral College, 
political correctness",0,https://www.dallasnews.com/opinion/letters-to-the-editor/2019/02/23/letters-christianity-beto-orourke-electoral-college-political-correctness,Dallas Morning News,11 hours ago,2/23/2019 12:00,Beto O Rourke,3,1,www.dallasnews.com
11144,"Watch: Joe Biden, Bernie Sanders square off in 2020 presidential primary 
debate",0,https://www.cnbc.com/2019/06/27/what-to-know-about-2020-democratic-presidential-primary-debate-in-miami.html,CNBC.com,6 hours ago,6/27/2019 22:00,Joe Biden,2,2,www.cnbc.com
42875,"Sanders Announces $16 Trillion Green Energy Plan: ""You Can't Nibble Around 
The Edges"" On Climate Change",0,https://www.realclearpolitics.com/video/2019/08/23/sanders_announces_16_trillion_green_energy_plan_you_cant_nibble_around_the_edges_on_climate_change.html,RealClearPolitics,43 mins ago,8/23/2019 12:00,Bernie Sanders,4,1,www.realclearpolitics.com
48258,John Hickenlooper Is the New Joe Lieberman,1,https://www.rollingstone.com/politics/political-commentary/john-hickenlooper-climate-change-opposition-green-new-deal-876602/,Rolling Stone,1 week ago,9/4/2019 18:00,John Hickenlooper,10,1,www.rollingstone.com
15274,Steve Bullock Pleads for End to Gun Violence (But Not Guns),0,https://www.usnews.com/news/politics/articles/2019-08-07/democratic-gov-steve-bullock-pleads-for-end-to-gun-violence-but-not-guns,US News & World Report,1 day ago,8/8/2019 20:00,Steve Bullock,9,1,www.usnews.com
34031,Special election draws presidential hopefuls to campaign,0,https://wcfcourier.com/news/local/govt-and-politics/special-election-draws-presidential-hopefuls-to-campaign/article_eb329611-9cd6-541b-a579-b9e07b39273f.html,Waterloo Cedar Falls Courier,8 hours ago,3/6/2019 12:00,Steve Bullock,3,1,wcfcourier.com
8189,5 takeaways from combative Democratic debate | TheHill,0,https://thehill.com/homenews/campaign/455475-5-takeaways-from-democratic-debate-slugfest,The Hill,1 day ago,8/1/2019 10:00,Steve Bullock,10,1,thehill.com
26140,"For Tulsi Gabbard, Marijuana Sits At Nexus Of Good Policy And Smart Politics",0,https://www.forbes.com/sites/tomangell/2019/03/07/for-tulsi-gabbard-marijuana-sits-at-nexus-of-good-policy-and-smart-politics/,Forbes,2 days ago,3/10/2019 6:00,Tulsi Gabbard,1,2,www.forbes.com
22452,,0,,,,9/4/2019 4:00,,,,
54018,DNC balks at effort to alter debate qualifications,0,https://www.politico.com/news/2019/12/14/dnc-debate-qualifications-085083,Politico,19 hours ago,12/15/2019 18:00,Cory Booker,8,1,www.politico.com
48835,Dems wonder: What the hell is Steyer thinking?,1,https://hotair.com/archives/ed-morrissey/2019/07/23/dems-wonder-hell-steyer-thinking/,HotAir,1 day ago,7/25/2019 2:00,Tom Steyer,6,1,hotair.com
